# Brothers Summer 2013 (Up to date)
# 1109 data points written for 54 variables.
# Simulation warnings:
#   Recovery device deployment at high speed (24.2 m/s).
#
# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Total velocity (m/s),Total acceleration (m/s²),Position upwind (m),Position parallel to wind (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (°),Longitude (°),Gravitational acceleration (m/s²),Angle of attack (°),Roll rate (r/s),Pitch rate (r/s),Yaw rate (r/s),Mass (g),Propellant mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (cm),CG location (cm),Stability margin calibers (​),Mach number (​),Reynolds number (​),Thrust (N),Drag force (N),Drag coefficient (​),Axial drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Coriolis acceleration (m/s²),Reference length (cm),Reference area (cm²),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Wind velocity (m/s),Air temperature (°C),Air pressure (mbar),Speed of sound (m/s),Simulation time step (s),Computation time (s)
# Event LAUNCH occurred at t=0 seconds
# Event IGNITION occurred at t=0 seconds
0,0,0,-0.033178,0,0.033183,0,0,0,0,0,5.7912e-4,43.796,-120.65,9.8008,89,0,0,0,33739,6961.8,39.144,0.126,NaN,241.47,NaN,0.015736,1126711,329.5,2.1641e-6,0.71826,9.5024e-6,0.46992,0.12831,0.12003,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,13.97,153.28,89,0,NaN,5.965,857.26,334.91,0.01,0.018069
0.01,0,0,11.132,0,11.134,0,0,0,0,0,0.19431,43.796,-120.65,9.8008,89,0,0,0,33739,6961.8,39.144,0.126,NaN,241.47,NaN,0.015781,1.13e6,706.26,2.1758e-6,0.718,9.4989e-6,0.46965,0.12831,0.12003,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,13.97,153.28,89,0,NaN,5.965,857.26,334.91,0.01,0.027457
0.02,5.5676e-4,0.11136,21.495,0.11138,21.498,9.7183e-6,0,9.7183e-6,0,0.0019438,0.3752,43.796,-120.65,9.8008,87.797,0,0,0,33731,6954.3,39.139,0.12599,NaN,241.45,NaN,0.015836,1133880,1055.7,2.3126e-5,0.71768,1.0027e-4,0.46933,0.12831,0.12003,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.1726e-5,13.97,153.28,89,0,NaN,5.965,857.26,334.91,0.01,0.028214
0.03,0.0027454,0.32638,31.864,0.32643,31.869,4.7921e-5,0,4.7921e-5,0,0.0056969,0.55619,43.796,-120.65,9.8008,85.49,0,0,0,33723,6945.6,39.133,0.12598,NaN,241.43,NaN,0.015919,1139822,1405.2,1.9545e-4,0.7172,8.3855e-4,0.46885,0.12831,0.12003,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.4368e-5,13.97,153.28,89,0,NaN,5.965,857.26,334.91,0.01,0.028849
0.04,0.0076027,0.64511,42.238,0.64521,42.245,1.3271e-4,0,1.3271e-4,0,0.01126,0.73727,43.796,-120.65,9.8008,82.114,0,0,0,33714,6936.9,39.128,0.12597,NaN,241.41,NaN,0.016067,1150422,1754.6,0.0010245,0.71635,0.0043149,0.468,0.12831,0.12003,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.793e-5,13.97,153.28,89,0,NaN,5.965,857.26,334.91,0.01,0.029759
0.05,0.016166,1.0676,52.618,1.0678,52.626,2.8218e-4,0,2.8218e-4,0,0.018635,0.91845,43.796,-120.65,9.8008,77.745,0,0,0,33705,6928.3,39.122,0.12596,NaN,241.39,NaN,0.016332,1169442,2104.1,0.0037717,0.71486,0.015373,0.46651,0.12831,0.12003,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.1242e-4,13.97,153.28,89,0,NaN,5.9649,857.26,334.91,0.01,0.030405
# Event LIFTOFF occurred at t=0.06 seconds
0.06,0.029474,1.5939,63.003,1.5942,63.012,5.1446e-4,0,5.1446e-4,0,0.027822,1.0997,43.796,-120.65,9.8008,72.779,0,0,0,33697,6919.6,39.116,0.12595,NaN,241.37,NaN,0.017037,1219933,2453.5,0.010666,0.71103,0.039949,0.46268,0.12832,0.12004,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.6784e-4,13.97,153.28,89,0,NaN,5.9648,857.26,334.91,0.01,0.031038
0.07,0.048563,2.2241,73.393,2.2244,73.404,8.4768e-4,0,8.4768e-4,0,0.038822,1.2811,43.796,-120.65,9.8008,67.321,0,0,0,33688,6910.9,39.11,0.12594,NaN,241.35,NaN,0.017977,1287222,2803,0.025105,0.70624,0.084456,0.45788,0.12832,0.12004,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.342e-4,13.97,153.28,89,0,NaN,5.9647,857.26,334.91,0.01,0.03167
0.08,0.074475,2.9582,82.473,2.9586,82.485,0.0013,0,0.0013,0,0.051635,1.4396,43.796,-120.65,9.8008,61.624,0,0,0,33679,6902.2,39.104,0.12593,NaN,241.33,NaN,0.019209,1375404,3108.1,0.051434,0.70043,0.15155,0.45206,0.12832,0.12005,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.115e-4,13.97,153.28,89,0,NaN,5.9645,857.25,334.91,0.01,0.032363
0.09,0.10818,3.7832,83.672,3.7837,83.684,0.0018883,0,0.0018883,0,0.066035,1.4605,43.796,-120.65,9.8008,56.03,0,0,0,33669,6891.7,39.097,0.12592,NaN,241.31,NaN,0.020757,1486254,3147.6,0.093783,0.69377,0.23665,0.4454,0.12832,0.12006,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.9837e-4,13.97,153.28,89,0,NaN,5.9643,857.25,334.91,0.01,0.03301
0.1,0.1502,4.6202,83.565,4.6209,83.578,0.0026217,0,0.0026217,0,0.080646,1.4586,43.796,-120.65,9.8008,51.18,0,0,0,33655,6877.6,39.088,0.1259,NaN,241.27,NaN,0.022497,1610864,3142.7,0.15036,0.68702,0.32298,0.43863,0.12832,0.12007,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.8651e-4,13.97,153.28,89,0,NaN,5.964,857.24,334.91,0.01,0.040189
0.11,0.20058,5.4562,83.463,5.457,83.475,0.0035011,0,0.0035011,0,0.095238,1.4568,43.796,-120.65,9.8008,46.184,0,0,0,33639,6861.8,39.077,0.12588,NaN,241.24,NaN,0.02397,1716314,3137.9,0.22277,0.68181,0.42153,0.4334,0.12833,0.12007,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.7454e-4,13.97,153.28,89,0,NaN,5.9637,857.24,334.91,0.01,0.040835
0.12,0.25932,6.2912,83.36,6.2921,83.373,0.0045264,0,0.0045264,0,0.10981,1.4551,43.796,-120.65,9.8008,41.8,0,0,0,33623,6846,39.067,0.12586,NaN,241.2,NaN,0.025601,1833092,3133,0.30815,0.67649,0.51116,0.42808,0.12833,0.12009,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.6247e-4,13.97,153.28,89,0,NaN,5.9633,857.23,334.91,0.01,0.041491
0.13,0.3264,7.1251,83.257,7.1262,83.27,0.0056973,0,0.0056973,0,0.12437,1.4533,43.796,-120.65,9.8008,37.965,0,0,0,33607,6830.2,39.056,0.12584,NaN,241.17,NaN,0.027362,1959113,3128.2,0.40511,0.67123,0.58833,0.4228,0.12834,0.1201,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.5028e-4,13.97,153.28,89,0,NaN,5.9629,857.23,334.91,0.01,0.043099
0.14,0.40181,7.958,83.153,7.9593,83.166,0.0070137,0,0.0070137,0,0.13891,1.4514,43.796,-120.65,9.8008,34.609,0,0,0,33591,6814.3,39.045,0.12582,NaN,241.13,NaN,0.029227,2092650,3123.3,0.51229,0.66611,0.65206,0.41766,0.12834,0.12011,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.3799e-4,13.97,153.28,89,0,NaN,5.9624,857.22,334.91,0.01,0.043758
0.15,0.48555,8.7899,83.049,8.7913,83.062,0.0084753,0,0.0084753,0,0.15343,1.4496,43.796,-120.65,9.8008,31.668,0,0,0,33576,6798.5,39.035,0.1258,NaN,241.09,NaN,0.031177,2232300,3118.5,0.62839,0.66118,0.7029,0.41271,0.12835,0.12013,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.2559e-4,13.97,153.28,89,0,NaN,5.9618,857.21,334.91,0.01,0.044387
0.16,0.57761,9.6208,82.945,9.6222,82.958,0.010082,0,0.010082,0,0.16793,1.4478,43.796,-120.65,9.8008,29.779,0,0,0,33560,6782.7,39.024,0.12579,NaN,241.06,NaN,0.033436,2393984,3113.7,0.75073,0.65595,0.73013,0.40745,0.12835,0.12015,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0010131,13.97,153.28,89,0,NaN,5.9612,857.2,334.91,0.01,0.045013
0.17,0.67796,10.451,82.841,10.452,82.853,0.011834,0,0.011834,0,0.18242,1.446,43.796,-120.65,9.8008,28.133,0,0,0,33544,6766.9,39.013,0.12577,NaN,241.02,NaN,0.035723,2557739,3108.8,0.88138,0.65109,0.75094,0.40257,0.12836,0.12017,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0011005,13.97,153.28,89,0,NaN,5.9606,857.19,334.91,0.01,0.045648
0.18,0.78661,11.279,82.747,11.281,82.759,0.01373,0,0.01373,0,0.19688,1.4444,43.796,-120.65,9.8008,26.688,0,0,0,33528,6751.1,39.003,0.12575,NaN,240.99,NaN,0.038034,2723145,3104.3,1.02,0.64657,0.76665,0.39802,0.12837,0.12019,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0011877,13.97,153.28,89,0,NaN,5.9599,857.18,334.91,0.01,0.046273
